shiptype,ton,length
Cargo ships,542,28
Cargo ships,542,28
Cargo ships,542,27
Cargo ships,542,18
Cargo ships,542,12
Cargo ships,542,10
Cargo ships,542,10
Cargo ships,542,6
Cargo ships,542,6
Cargo ships,542,5
Cargo ships,572,52
Cargo ships,572,49
Cargo ships,572,49
Cargo ships,572,48
Cargo ships,572,48
Cargo ships,572,48
Cargo ships,572,48
Cargo ships,572,48
Cargo ships,572,47
Cargo ships,572,47
Cargo ships,572,47
Cargo ships,572,47
Cargo ships,572,47
Cargo ships,572,47
Cargo ships,572,47
Cargo ships,572,47
Cargo ships,572,45
Cargo ships,572,45
Cargo ships,572,45
Cargo ships,572,45
Cargo ships,572,45
Cargo ships,572,44
Cargo ships,572,43
Cargo ships,572,42
Cargo ships,572,42
Cargo ships,572,40
Cargo ships,572,40
Cargo ships,572,40
Cargo ships,572,40
Cargo ships,572,40
Cargo ships,572,39
Cargo ships,572,35
Cargo ships,572,35
Cargo ships,572,30
Cargo ships,572,20
Cargo ships,572,6
Cargo ships,602,50
Cargo ships,602,50
Cargo ships,602,50
Cargo ships,602,50
Cargo ships,602,50
Cargo ships,602,50
Cargo ships,602,49
Cargo ships,602,49
Cargo ships,602,48
Cargo ships,602,48
Cargo ships,602,48
Cargo ships,602,48
Cargo ships,602,48
Cargo ships,602,48
Cargo ships,602,48
Cargo ships,602,48
Cargo ships,602,48
Cargo ships,602,47
